Ticker,Company,CIK
MMM,3M Company,0000066740
ABT,Abbott Laboratories,0000001800
ABBV,AbbVie Inc.,0001551152
ABMD,ABIOMED Inc,0000815094
ACN,Accenture plc,0001467373
ATVI,Activision Blizzard,0000718877
ADBE,Adobe Inc.,0000796343
AMD,Advanced Micro Devices Inc,0000002488
AAP,Advance Auto Parts,0001158449
AES,AES Corp,0000874761
AFL,AFLAC Inc,0000004977
A,Agilent Technologies Inc,0001090872
APD,Air Products & Chemicals Inc,0000002969
AKAM,Akamai Technologies Inc,0001086222
ALK,Alaska Air Group Inc,0000766421
ALB,Albemarle Corp,0000915913
ARE,Alexandria Real Estate Equities,0001035443
ALXN,Alexion Pharmaceuticals,0000899866
ALGN,Align Technology,0001097149
ALLE,Allegion,0001579241
LNT,Alliant Energy Corp,0000352541
ALL,Allstate Corp,0000899051
GOOGL,Alphabet Inc. (Class A),0001652044
GOOG,Alphabet Inc. (Class C),0001652044
MO,Altria Group Inc,0000764180
AMZN,Amazon.com Inc.,0001018724
AMCR,Amcor plc,0001748790
AEE,Ameren Corp,0001002910
AAL,American Airlines Group,0000006201
AEP,American Electric Power,0000004904
AXP,American Express Co,0000004962
AIG,American International Group,0000005272
AMT,American Tower Corp.,0001053507
AWK,American Water Works Company Inc,0001410636
AMP,Ameriprise Financial,0000820027
ABC,AmerisourceBergen Corp,0001140859
AME,AMETEK Inc.,0001037868
AMGN,Amgen Inc.,0000318154
APH,Amphenol Corp,0000820313
ADI,"Analog Devices, Inc.",0000006281
ANSS,ANSYS,0001013462
ANTM,Anthem,0001156039
AON,Aon plc,0000315293
AOS,A.O. Smith Corp,0000091142
APA,Apache Corporation,0000006769
AIV,Apartment Investment & Management,0000922864
AAPL,Apple Inc.,0000320193
AMAT,Applied Materials Inc.,0000006951
APTV,Aptiv PLC,0001521332
ADM,Archer-Daniels-Midland Co,0000007084
ANET,Arista Networks,0001596532
AJG,Arthur J. Gallagher & Co.,0000354190
AIZ,Assurant,0001267238
T,AT&T Inc.,0000732717
ATO,Atmos Energy,0000731802
ADSK,Autodesk Inc.,0000769397
ADP,Automatic Data Processing,0000008670
AZO,AutoZone Inc,0000866787
AVB,AvalonBay Communities,0000915912
AVY,Avery Dennison Corp,0000008818
BKR,Baker Hughes Co,0001701605
BLL,Ball Corp,0000009389
BAC,Bank of America Corp,0000070858
BK,The Bank of New York Mellon,0001390777
BAX,Baxter International Inc.,0000010456
